qid,n_words,t_suf_global,phi_suf_global,t_suf_perq,phi_suf_perq
test64,8,4,0.5,4,0.5
test65,8,8,1.0,8,1.0
test66,10,4,0.4,3,0.3
test67,8,7,0.875,7,0.875
test68,8,8,1.0,8,1.0
test69,9,7,0.7778,7,0.7778
test70,9,3,0.3333,3,0.3333
test71,12,11,0.9167,10,0.8333
test72,8,5,0.625,5,0.625
test73,11,,,,
test74,8,3,0.375,5,0.625
test75,8,8,1.0,8,1.0
test76,9,7,0.7778,7,0.7778
test77,12,,,,
test78,9,8,0.8889,8,0.8889
test79,9,3,0.3333,3,0.3333
test80,8,4,0.5,4,0.5
test81,11,4,0.3636,4,0.3636
test82,8,4,0.5,4,0.5
test83,15,7,0.4667,7,0.4667
test84,10,8,0.8,8,0.8
test85,8,4,0.5,4,0.5
test86,10,,,8,0.8
test87,11,6,0.5455,,
test88,9,9,1.0,,
test89,9,8,0.8889,8,0.8889
test90,8,4,0.5,4,0.5
test91,10,,,,
test92,8,4,0.5,4,0.5
test93,8,4,0.5,4,0.5
test94,12,5,0.4167,5,0.4167
test95,9,9,1.0,,
test96,8,,,,
test97,8,3,0.375,3,0.375
test98,8,5,0.625,5,0.625
test99,9,4,0.4444,7,0.7778
test100,10,4,0.4,4,0.4
test101,9,5,0.5556,5,0.5556
test102,8,5,0.625,5,0.625
test103,9,3,0.3333,3,0.3333
test104,9,3,0.3333,3,0.3333
test105,10,4,0.4,3,0.3
test106,10,4,0.4,10,1.0
test107,8,5,0.625,5,0.625
test108,9,7,0.7778,7,0.7778
test109,8,8,1.0,8,1.0
test110,10,6,0.6,6,0.6
test111,8,6,0.75,6,0.75
test112,11,7,0.6364,7,0.6364
test113,9,9,1.0,9,1.0
test114,11,6,0.5455,6,0.5455
test115,12,2,0.1667,2,0.1667
test116,13,9,0.6923,9,0.6923
test117,8,6,0.75,6,0.75
test118,8,5,0.625,8,1.0
test119,8,3,0.375,3,0.375
test120,13,4,0.3077,4,0.3077
test121,8,6,0.75,6,0.75
test122,9,9,1.0,9,1.0
test123,8,6,0.75,6,0.75
test124,9,4,0.4444,4,0.4444
test125,13,4,0.3077,4,0.3077
test126,8,4,0.5,4,0.5
test127,8,1,0.125,1,0.125
test128,8,3,0.375,3,0.375
test129,8,6,0.75,6,0.75
test130,9,6,0.6667,6,0.6667
test131,8,,,,
test132,9,7,0.7778,7,0.7778
test133,9,7,0.7778,6,0.6667
test134,9,,,,
test135,8,3,0.375,4,0.5
test136,9,7,0.7778,7,0.7778
test137,8,3,0.375,3,0.375
test138,11,10,0.9091,10,0.9091
test139,11,6,0.5455,6,0.5455
test140,9,4,0.4444,3,0.3333
test141,8,7,0.875,8,1.0
test142,9,7,0.7778,7,0.7778
test143,10,4,0.4,5,0.5
test144,9,8,0.8889,9,1.0
test145,9,4,0.4444,4,0.4444
test146,8,5,0.625,5,0.625
test147,8,4,0.5,4,0.5
test148,16,1,0.0625,1,0.0625
test149,8,3,0.375,3,0.375
test150,18,8,0.4444,3,0.1667
test151,8,5,0.625,5,0.625
test152,8,6,0.75,6,0.75
test153,9,4,0.4444,4,0.4444
test154,12,6,0.5,6,0.5
test155,10,6,0.6,6,0.6
test156,8,8,1.0,8,1.0
test157,9,9,1.0,9,1.0
test158,8,1,0.125,1,0.125
test159,13,4,0.3077,4,0.3077
test160,10,8,0.8,5,0.5
test161,8,,,,
test162,8,5,0.625,7,0.875
test163,8,1,0.125,1,0.125
test164,8,5,0.625,5,0.625
test165,10,3,0.3,9,0.9
test166,8,6,0.75,6,0.75
test167,8,7,0.875,7,0.875
test168,10,8,0.8,8,0.8
test169,8,3,0.375,3,0.375
test170,8,6,0.75,6,0.75
test171,9,7,0.7778,6,0.6667
test172,8,7,0.875,7,0.875
test173,11,,,,
test174,7,6,0.8571,6,0.8571
test175,8,4,0.5,4,0.5
test176,9,9,1.0,8,0.8889
test177,8,8,1.0,8,1.0
test178,9,5,0.5556,6,0.6667
test179,9,7,0.7778,,
test180,11,7,0.6364,7,0.6364
test181,15,5,0.3333,1,0.0667
test182,8,6,0.75,6,0.75
test183,12,2,0.1667,2,0.1667
test184,8,1,0.125,1,0.125
test185,8,4,0.5,5,0.625
test186,11,10,0.9091,10,0.9091
test187,9,3,0.3333,3,0.3333
test188,8,6,0.75,8,1.0
test189,8,6,0.75,6,0.75
test190,8,6,0.75,6,0.75
test191,11,3,0.2727,4,0.3636
test192,8,3,0.375,3,0.375
test193,11,4,0.3636,4,0.3636
test194,11,7,0.6364,7,0.6364
test195,13,3,0.2308,3,0.2308
test196,8,5,0.625,5,0.625
test197,8,6,0.75,6,0.75
test198,9,9,1.0,9,1.0
test199,15,6,0.4,6,0.4
test200,7,3,0.4286,3,0.4286
test201,8,,,,
test202,9,7,0.7778,7,0.7778
test203,9,5,0.5556,5,0.5556
test204,10,7,0.7,4,0.4
test205,12,2,0.1667,3,0.25
test206,8,1,0.125,1,0.125
test207,12,6,0.5,7,0.5833
test208,8,6,0.75,6,0.75
test209,15,4,0.2667,4,0.2667
test210,11,6,0.5455,6,0.5455
test211,9,,,8,0.8889
test212,10,4,0.4,5,0.5
test213,9,5,0.5556,5,0.5556
test214,8,3,0.375,3,0.375
test215,8,4,0.5,4,0.5
test216,16,1,0.0625,1,0.0625
test217,8,7,0.875,7,0.875
test218,8,6,0.75,6,0.75
test219,8,5,0.625,5,0.625
test220,8,7,0.875,7,0.875
test221,8,6,0.75,6,0.75
test222,11,4,0.3636,4,0.3636
test223,9,6,0.6667,6,0.6667
test224,14,12,0.8571,12,0.8571
test225,8,1,0.125,1,0.125
test226,8,,,2,0.25
test227,8,4,0.5,4,0.5
test228,13,11,0.8462,11,0.8462
test229,8,3,0.375,3,0.375
test230,8,4,0.5,4,0.5
test231,8,7,0.875,7,0.875
test232,8,7,0.875,7,0.875
test233,8,3,0.375,4,0.5
test234,8,5,0.625,5,0.625
test235,8,4,0.5,4,0.5
test236,8,4,0.5,4,0.5
test237,9,2,0.2222,3,0.3333
test238,8,3,0.375,3,0.375
test239,9,4,0.4444,4,0.4444
test240,7,,,,
test241,11,10,0.9091,6,0.5455
test242,12,4,0.3333,5,0.4167
test243,8,4,0.5,4,0.5
test244,11,3,0.2727,3,0.2727
test245,18,4,0.2222,6,0.3333
test246,8,4,0.5,4,0.5
test247,8,5,0.625,5,0.625
test248,7,4,0.5714,4,0.5714
test249,9,5,0.5556,5,0.5556
test250,8,6,0.75,6,0.75
test251,18,8,0.4444,8,0.4444
test252,9,2,0.2222,2,0.2222
test253,10,7,0.7,,
test254,11,,,,
test255,12,5,0.4167,5,0.4167
test256,8,5,0.625,5,0.625
test257,8,8,1.0,7,0.875
test258,8,,,4,0.5
test259,8,7,0.875,7,0.875
test260,10,8,0.8,8,0.8
test261,10,5,0.5,5,0.5
test262,9,3,0.3333,3,0.3333
test263,11,8,0.7273,8,0.7273
test264,14,6,0.4286,5,0.3571
test265,9,7,0.7778,,
test266,9,4,0.4444,4,0.4444
test267,11,7,0.6364,10,0.9091
test268,8,5,0.625,5,0.625
test269,9,8,0.8889,7,0.7778
test270,11,2,0.1818,2,0.1818
test271,8,6,0.75,6,0.75
test272,9,3,0.3333,3,0.3333
test273,8,6,0.75,6,0.75
test274,7,4,0.5714,4,0.5714
test275,8,6,0.75,6,0.75
test276,16,,,,
test277,8,5,0.625,5,0.625
test278,10,6,0.6,8,0.8
test279,8,6,0.75,6,0.75
test280,13,8,0.6154,8,0.6154
test281,9,5,0.5556,5,0.5556
test282,8,4,0.5,4,0.5
test283,9,4,0.4444,4,0.4444
test284,8,,,,
test285,9,9,1.0,9,1.0
test286,10,,,,
test287,8,6,0.75,6,0.75
test288,9,,,9,1.0
test289,8,5,0.625,5,0.625
test290,9,9,1.0,9,1.0
test291,16,4,0.25,12,0.75
test292,8,6,0.75,7,0.875
test293,9,3,0.3333,3,0.3333
test294,9,4,0.4444,1,0.1111
test295,8,,,,
test296,8,3,0.375,3,0.375
test297,8,,,,
test298,8,6,0.75,6,0.75
test299,8,4,0.5,5,0.625
test300,11,6,0.5455,6,0.5455
test301,8,6,0.75,6,0.75
test302,8,5,0.625,5,0.625
test303,8,8,1.0,2,0.25
test304,8,3,0.375,3,0.375
test305,10,3,0.3,7,0.7
test306,10,9,0.9,9,0.9
test307,8,8,1.0,8,1.0
test308,9,5,0.5556,,
test309,13,5,0.3846,7,0.5385
test310,8,8,1.0,6,0.75
test311,8,4,0.5,4,0.5
test312,8,7,0.875,7,0.875
test313,9,8,0.8889,9,1.0
test314,9,1,0.1111,1,0.1111
test315,10,8,0.8,9,0.9
test316,7,2,0.2857,2,0.2857
test317,8,4,0.5,4,0.5
test318,10,9,0.9,1,0.1
test319,9,4,0.4444,4,0.4444
test320,9,4,0.4444,4,0.4444
test321,8,4,0.5,5,0.625
test322,8,2,0.25,2,0.25
test323,9,4,0.4444,1,0.1111
test324,8,4,0.5,6,0.75
test325,11,10,0.9091,11,1.0
test326,10,8,0.8,8,0.8
test327,9,9,1.0,9,1.0
test328,7,,,,
test329,10,9,0.9,10,1.0
test330,9,5,0.5556,5,0.5556
test331,10,9,0.9,6,0.6
test332,8,4,0.5,6,0.75
test333,9,6,0.6667,6,0.6667
test334,12,4,0.3333,4,0.3333
test335,11,9,0.8182,9,0.8182
test336,8,6,0.75,6,0.75
test337,8,8,1.0,,
test338,10,5,0.5,5,0.5
test339,10,,,,
test340,10,3,0.3,3,0.3
test341,11,10,0.9091,10,0.9091
test342,10,4,0.4,6,0.6
test343,8,3,0.375,3,0.375
test344,10,6,0.6,9,0.9
test345,8,4,0.5,4,0.5
test346,9,,,,
test347,9,5,0.5556,5,0.5556
test348,8,4,0.5,4,0.5
test349,10,3,0.3,6,0.6
test350,8,8,1.0,8,1.0
test351,8,3,0.375,3,0.375
test352,8,4,0.5,4,0.5
test353,8,7,0.875,7,0.875
test354,10,9,0.9,9,0.9
test355,8,5,0.625,6,0.75
test356,9,4,0.4444,4,0.4444
test357,10,6,0.6,6,0.6
test358,8,8,1.0,8,1.0
test359,8,,,,
test360,9,4,0.4444,4,0.4444
test361,9,6,0.6667,6,0.6667
test362,10,7,0.7,7,0.7
test363,9,9,1.0,9,1.0
test364,10,9,0.9,8,0.8
test365,8,,,,
test366,7,3,0.4286,3,0.4286
test367,11,,,11,1.0
test368,10,7,0.7,7,0.7
test369,10,7,0.7,6,0.6
test370,8,8,1.0,8,1.0
test371,10,3,0.3,3,0.3
test372,8,3,0.375,3,0.375
test373,10,5,0.5,5,0.5
test374,8,7,0.875,,
test375,8,8,1.0,8,1.0
test376,10,,,,
test377,8,3,0.375,3,0.375
test378,14,3,0.2143,3,0.2143
test379,9,8,0.8889,,
test380,8,,,,
test381,9,4,0.4444,1,0.1111
test382,10,7,0.7,7,0.7
test383,8,5,0.625,5,0.625
test384,8,3,0.375,3,0.375
test385,9,,,,
test386,9,1,0.1111,1,0.1111
test387,7,5,0.7143,,
test388,8,4,0.5,4,0.5
test389,13,3,0.2308,3,0.2308
test390,8,3,0.375,3,0.375
test391,8,3,0.375,3,0.375
test392,8,3,0.375,3,0.375
test393,8,4,0.5,5,0.625
test394,8,,,2,0.25
test395,9,8,0.8889,6,0.6667
test396,8,3,0.375,3,0.375
test397,9,1,0.1111,1,0.1111
test398,9,7,0.7778,7,0.7778
test399,13,8,0.6154,8,0.6154
test400,13,12,0.9231,12,0.9231
test401,8,6,0.75,6,0.75
test402,7,,,,
test403,10,,,,
test404,9,8,0.8889,8,0.8889
test405,8,,,,
test406,10,3,0.3,3,0.3
test407,10,6,0.6,6,0.6
test408,8,7,0.875,7,0.875
test409,10,9,0.9,9,0.9
test410,8,7,0.875,7,0.875
test411,8,4,0.5,4,0.5
test412,8,5,0.625,5,0.625
test413,15,5,0.3333,5,0.3333
test414,8,,,,
test415,13,,,,
test416,15,4,0.2667,4,0.2667
test417,7,4,0.5714,4,0.5714
test418,9,6,0.6667,6,0.6667
test419,8,3,0.375,3,0.375
test420,9,4,0.4444,5,0.5556
test421,7,4,0.5714,4,0.5714
test422,13,9,0.6923,9,0.6923
test423,8,5,0.625,5,0.625
test424,8,8,1.0,8,1.0
test425,9,5,0.5556,1,0.1111
test426,11,7,0.6364,7,0.6364
test427,9,7,0.7778,7,0.7778
test428,10,6,0.6,2,0.2
test429,9,4,0.4444,4,0.4444
test430,11,9,0.8182,,
test431,12,5,0.4167,5,0.4167
test432,10,7,0.7,9,0.9
test433,8,5,0.625,5,0.625
test434,8,7,0.875,7,0.875
test435,9,5,0.5556,5,0.5556
test436,8,8,1.0,8,1.0
test437,10,6,0.6,6,0.6
test438,8,7,0.875,7,0.875
test439,8,7,0.875,7,0.875
test440,8,8,1.0,8,1.0
test441,14,,,,
test442,9,9,1.0,,
test443,10,2,0.2,3,0.3
test444,10,6,0.6,6,0.6
test445,8,7,0.875,7,0.875
test446,8,5,0.625,5,0.625
test447,8,2,0.25,1,0.125
test448,8,7,0.875,7,0.875
test449,8,4,0.5,1,0.125
test450,9,5,0.5556,5,0.5556
test451,8,3,0.375,3,0.375
test452,9,6,0.6667,4,0.4444
test453,8,3,0.375,3,0.375
test454,10,4,0.4,8,0.8
test455,8,5,0.625,5,0.625
test456,8,3,0.375,3,0.375
test457,11,6,0.5455,6,0.5455
test458,8,5,0.625,5,0.625
test459,8,1,0.125,1,0.125
test460,8,,,,
test461,8,4,0.5,5,0.625
test462,9,4,0.4444,4,0.4444
test463,8,2,0.25,1,0.125
test464,8,7,0.875,7,0.875
test465,8,7,0.875,7,0.875
test466,10,5,0.5,5,0.5
test467,10,6,0.6,6,0.6
test468,8,5,0.625,5,0.625
test469,9,5,0.5556,5,0.5556
test470,8,4,0.5,4,0.5
test471,11,6,0.5455,6,0.5455
test472,8,8,1.0,8,1.0
test473,9,3,0.3333,3,0.3333
test474,10,7,0.7,7,0.7
test475,8,3,0.375,3,0.375
test476,8,,,,
test477,8,5,0.625,5,0.625
test478,8,7,0.875,7,0.875
test479,8,6,0.75,6,0.75
test480,9,5,0.5556,6,0.6667
test481,7,5,0.7143,5,0.7143
test482,8,7,0.875,7,0.875
test483,8,1,0.125,1,0.125
test484,8,5,0.625,5,0.625
test485,10,4,0.4,4,0.4
test486,10,6,0.6,6,0.6
test487,8,4,0.5,8,1.0
test488,10,3,0.3,3,0.3
test489,9,6,0.6667,6,0.6667
test490,10,,,,
test491,9,5,0.5556,6,0.6667
test492,8,4,0.5,4,0.5
test493,9,4,0.4444,4,0.4444
test494,13,12,0.9231,12,0.9231
test495,8,,,4,0.5
test496,9,1,0.1111,1,0.1111
test497,14,10,0.7143,10,0.7143
test498,10,2,0.2,1,0.1
test499,8,7,0.875,7,0.875
test500,8,5,0.625,5,0.625
test501,8,6,0.75,7,0.875
test502,9,7,0.7778,7,0.7778
test503,8,5,0.625,5,0.625
test504,9,1,0.1111,1,0.1111
test505,9,5,0.5556,5,0.5556
test506,8,7,0.875,7,0.875
test507,9,,,7,0.7778
test508,9,4,0.4444,4,0.4444
test509,8,4,0.5,4,0.5
test510,9,6,0.6667,6,0.6667
test511,8,8,1.0,8,1.0
test512,8,4,0.5,4,0.5
test513,8,4,0.5,4,0.5
test514,8,3,0.375,3,0.375
test515,9,9,1.0,9,1.0
test516,9,5,0.5556,6,0.6667
test517,8,2,0.25,2,0.25
test518,10,1,0.1,1,0.1
test519,15,6,0.4,3,0.2
test520,9,5,0.5556,5,0.5556
test521,11,8,0.7273,8,0.7273
test522,11,5,0.4545,5,0.4545
test523,8,3,0.375,3,0.375
test524,9,9,1.0,1,0.1111
test525,8,5,0.625,5,0.625
test526,10,6,0.6,6,0.6
test527,8,3,0.375,3,0.375
test528,8,6,0.75,8,1.0
test529,12,9,0.75,9,0.75
test530,8,8,1.0,8,1.0
test531,10,3,0.3,3,0.3
test532,13,6,0.4615,7,0.5385
test533,8,2,0.25,1,0.125
test534,8,8,1.0,8,1.0
test535,8,6,0.75,6,0.75
test536,8,8,1.0,6,0.75
test537,11,10,0.9091,10,0.9091
test538,9,3,0.3333,3,0.3333
test539,9,3,0.3333,3,0.3333
test540,8,1,0.125,1,0.125
test541,8,7,0.875,5,0.625
test542,9,6,0.6667,6,0.6667
test543,11,9,0.8182,9,0.8182
test544,8,,,,
test545,8,4,0.5,8,1.0
test546,10,5,0.5,6,0.6
test547,8,,,7,0.875
test548,8,6,0.75,6,0.75
test549,10,3,0.3,3,0.3
test550,9,7,0.7778,8,0.8889
test551,10,7,0.7,6,0.6
test552,9,6,0.6667,6,0.6667
test553,10,,,,
test554,9,3,0.3333,4,0.4444
test555,9,8,0.8889,8,0.8889
test556,8,5,0.625,4,0.5
test557,8,,,,
test558,8,5,0.625,5,0.625
test559,9,7,0.7778,7,0.7778
test560,8,8,1.0,8,1.0
test561,7,6,0.8571,6,0.8571
test562,11,6,0.5455,6,0.5455
test563,8,2,0.25,2,0.25
test564,10,8,0.8,8,0.8
test565,7,6,0.8571,5,0.7143
test566,9,3,0.3333,3,0.3333
test567,8,4,0.5,4,0.5
test568,5,4,0.8,4,0.8
test569,10,9,0.9,9,0.9
test570,8,3,0.375,2,0.25
test571,14,1,0.0714,1,0.0714
test572,8,7,0.875,7,0.875
test573,15,,,,
test574,9,3,0.3333,3,0.3333
test575,12,5,0.4167,5,0.4167
test576,8,6,0.75,6,0.75
test577,13,,,7,0.5385
test578,8,6,0.75,6,0.75
test579,10,10,1.0,10,1.0
test580,11,7,0.6364,7,0.6364
test581,9,4,0.4444,4,0.4444
test582,10,1,0.1,1,0.1
test583,8,3,0.375,3,0.375
test584,13,4,0.3077,4,0.3077
test585,8,4,0.5,4,0.5
test586,8,7,0.875,7,0.875
test587,9,3,0.3333,3,0.3333
test588,9,4,0.4444,4,0.4444
test589,9,9,1.0,7,0.7778
test590,10,4,0.4,4,0.4
test591,9,4,0.4444,4,0.4444
test592,11,3,0.2727,4,0.3636
test593,8,8,1.0,8,1.0
test594,8,,,,
test595,10,6,0.6,6,0.6
test596,9,6,0.6667,8,0.8889
test597,9,4,0.4444,6,0.6667
test598,8,4,0.5,4,0.5
test599,8,4,0.5,4,0.5
test600,10,3,0.3,3,0.3
test601,8,7,0.875,7,0.875
test602,9,8,0.8889,8,0.8889
test603,8,,,,
test604,9,7,0.7778,4,0.4444
test605,8,3,0.375,3,0.375
test606,10,4,0.4,4,0.4
test607,9,9,1.0,,
test608,10,3,0.3,3,0.3
test609,9,3,0.3333,3,0.3333
test610,8,4,0.5,4,0.5
test611,8,8,1.0,8,1.0
test612,9,6,0.6667,6,0.6667
test613,9,6,0.6667,6,0.6667
test614,9,,,9,1.0
test615,12,4,0.3333,4,0.3333
test616,9,9,1.0,9,1.0
test617,10,10,1.0,10,1.0
test618,9,6,0.6667,6,0.6667
test619,9,4,0.4444,4,0.4444
test620,8,4,0.5,4,0.5
test621,9,4,0.4444,,
test622,8,4,0.5,4,0.5
test623,8,5,0.625,5,0.625
test624,11,8,0.7273,9,0.8182
test625,9,4,0.4444,4,0.4444
test626,8,5,0.625,5,0.625
test627,10,3,0.3,3,0.3
test628,8,6,0.75,6,0.75
test629,9,2,0.2222,1,0.1111
test630,9,3,0.3333,3,0.3333
test631,8,7,0.875,7,0.875
test632,8,8,1.0,8,1.0
test633,8,3,0.375,3,0.375
test634,8,7,0.875,7,0.875
test635,10,5,0.5,5,0.5
test636,8,5,0.625,5,0.625
test637,8,5,0.625,4,0.5
test638,8,5,0.625,5,0.625
test639,8,8,1.0,8,1.0
test640,8,,,8,1.0
test641,9,4,0.4444,4,0.4444
test642,8,,,,
test643,8,3,0.375,3,0.375
test644,8,4,0.5,4,0.5
test645,10,2,0.2,5,0.5
test646,7,3,0.4286,4,0.5714
test647,11,6,0.5455,4,0.3636
test648,10,8,0.8,8,0.8
test649,10,8,0.8,8,0.8
test650,7,3,0.4286,3,0.4286
test651,8,6,0.75,6,0.75
test652,10,8,0.8,8,0.8
test653,8,5,0.625,5,0.625
test654,11,2,0.1818,2,0.1818
test655,8,5,0.625,5,0.625
test656,8,5,0.625,4,0.5
test657,11,9,0.8182,9,0.8182
test658,11,7,0.6364,1,0.0909
test659,11,,,,
test660,13,7,0.5385,7,0.5385
test661,8,3,0.375,3,0.375
test662,8,6,0.75,6,0.75
test663,8,6,0.75,6,0.75
test664,10,5,0.5,5,0.5
test665,9,8,0.8889,,
test666,14,7,0.5,8,0.5714
test667,10,6,0.6,6,0.6
test668,8,8,1.0,8,1.0
test669,8,,,,
test670,8,,,,
test671,16,6,0.375,6,0.375
test672,9,,,,
test673,8,5,0.625,5,0.625
test674,12,4,0.3333,5,0.4167
test675,8,3,0.375,2,0.25
test676,9,6,0.6667,6,0.6667
test677,10,9,0.9,9,0.9
test678,9,8,0.8889,8,0.8889
test679,12,6,0.5,6,0.5
test680,9,4,0.4444,4,0.4444
test681,12,4,0.3333,4,0.3333
test682,8,3,0.375,3,0.375
test683,7,5,0.7143,5,0.7143
test684,8,7,0.875,7,0.875
test685,11,5,0.4545,8,0.7273
test686,8,6,0.75,,
test687,13,2,0.1538,2,0.1538
test688,8,4,0.5,4,0.5
test689,11,,,,
test690,8,3,0.375,3,0.375
test691,10,4,0.4,4,0.4
test692,8,5,0.625,5,0.625
test693,8,5,0.625,5,0.625
test694,8,6,0.75,6,0.75
test695,9,,,,
test696,8,4,0.5,4,0.5
test697,9,9,1.0,9,1.0
test698,10,5,0.5,5,0.5
test699,8,4,0.5,4,0.5
test700,8,5,0.625,7,0.875
test701,9,4,0.4444,4,0.4444
test702,9,4,0.4444,4,0.4444
test703,9,5,0.5556,4,0.4444
test704,8,4,0.5,4,0.5
test705,8,6,0.75,4,0.5
test706,13,1,0.0769,1,0.0769
test707,10,4,0.4,,
test708,8,3,0.375,3,0.375
test709,9,5,0.5556,5,0.5556
test710,14,2,0.1429,2,0.1429
test711,8,5,0.625,5,0.625
test712,8,6,0.75,7,0.875
test713,9,,,,
test714,10,10,1.0,10,1.0
test715,9,5,0.5556,5,0.5556
test716,9,7,0.7778,7,0.7778
test717,8,4,0.5,4,0.5
test718,8,8,1.0,,
test719,12,,,,
test720,8,,,8,1.0
test721,11,9,0.8182,9,0.8182
test722,8,,,,
test723,8,6,0.75,4,0.5
test724,8,3,0.375,4,0.5
test725,8,4,0.5,5,0.625
test726,8,3,0.375,3,0.375
test727,8,6,0.75,6,0.75
test728,9,3,0.3333,3,0.3333
test729,9,5,0.5556,4,0.4444
test730,8,5,0.625,5,0.625
test731,8,4,0.5,4,0.5
test732,8,6,0.75,6,0.75
test733,9,5,0.5556,5,0.5556
test734,8,4,0.5,4,0.5
test735,8,3,0.375,2,0.25
test736,13,4,0.3077,4,0.3077
test737,8,4,0.5,4,0.5
test738,7,6,0.8571,6,0.8571
test739,8,4,0.5,4,0.5
test740,10,5,0.5,5,0.5
test741,8,3,0.375,3,0.375
test742,8,6,0.75,6,0.75
test743,9,7,0.7778,,
test744,12,8,0.6667,8,0.6667
test745,12,2,0.1667,1,0.0833
test746,11,4,0.3636,4,0.3636
test747,8,3,0.375,3,0.375
test748,10,10,1.0,10,1.0
test749,8,2,0.25,2,0.25
test750,8,2,0.25,2,0.25
test751,8,3,0.375,4,0.5
test752,9,,,8,0.8889
test753,10,4,0.4,6,0.6
test754,14,6,0.4286,6,0.4286
test755,8,2,0.25,3,0.375
test756,9,,,,
test757,10,10,1.0,10,1.0
test758,8,,,,
test759,10,3,0.3,3,0.3
test760,8,3,0.375,3,0.375
test761,8,4,0.5,4,0.5
test762,8,4,0.5,4,0.5
test763,8,,,,
test764,8,4,0.5,4,0.5
test765,8,3,0.375,3,0.375
test766,9,7,0.7778,7,0.7778
test767,8,2,0.25,2,0.25
test768,9,3,0.3333,4,0.4444
test769,8,5,0.625,5,0.625
test770,8,5,0.625,5,0.625
test771,12,12,1.0,12,1.0
test772,8,4,0.5,4,0.5
test773,8,5,0.625,5,0.625
test774,8,,,,
test775,8,,,,
test776,12,10,0.8333,1,0.0833
test777,8,4,0.5,4,0.5
test778,11,5,0.4545,5,0.4545
test779,8,,,,
test780,9,7,0.7778,7,0.7778
test781,8,5,0.625,5,0.625
test782,9,9,1.0,9,1.0
test783,8,2,0.25,2,0.25
test784,8,6,0.75,6,0.75
test785,12,11,0.9167,1,0.0833
test786,8,8,1.0,1,0.125
test787,11,11,1.0,9,0.8182
test788,8,4,0.5,4,0.5
test789,13,13,1.0,,
test790,8,7,0.875,,
test791,8,3,0.375,3,0.375
test792,8,5,0.625,6,0.75
test793,8,4,0.5,4,0.5
test794,8,7,0.875,7,0.875
test795,8,7,0.875,7,0.875
test796,8,6,0.75,,
test797,8,3,0.375,3,0.375
test798,9,,,,
test799,11,8,0.7273,8,0.7273
test800,8,4,0.5,6,0.75
test801,8,4,0.5,4,0.5
test802,11,5,0.4545,5,0.4545
test803,8,,,,
test804,8,5,0.625,5,0.625
test805,10,9,0.9,9,0.9
test806,13,12,0.9231,12,0.9231
test807,8,8,1.0,8,1.0
test808,9,5,0.5556,5,0.5556
test809,9,,,8,0.8889
test810,9,3,0.3333,3,0.3333
test811,13,5,0.3846,1,0.0769
test812,9,9,1.0,9,1.0
test813,8,7,0.875,1,0.125
test814,17,11,0.6471,11,0.6471
test815,8,5,0.625,8,1.0
test816,9,8,0.8889,8,0.8889
test817,8,,,,
test818,15,1,0.0667,1,0.0667
test819,11,5,0.4545,5,0.4545
test820,7,5,0.7143,5,0.7143
test821,8,5,0.625,5,0.625
test822,11,,,,
test823,8,5,0.625,4,0.5
test824,8,6,0.75,5,0.625
test825,8,7,0.875,7,0.875
test826,10,5,0.5,5,0.5
test827,8,5,0.625,5,0.625
test828,14,4,0.2857,8,0.5714
test829,8,8,1.0,8,1.0
test830,7,6,0.8571,6,0.8571
test831,8,5,0.625,4,0.5
test832,8,2,0.25,2,0.25
test833,10,3,0.3,3,0.3
test834,8,3,0.375,3,0.375
test835,8,3,0.375,3,0.375
test836,13,10,0.7692,8,0.6154
test837,8,6,0.75,6,0.75
test838,9,8,0.8889,9,1.0
test839,8,4,0.5,4,0.5
test840,9,5,0.5556,6,0.6667
test841,8,8,1.0,7,0.875
test842,10,2,0.2,2,0.2
test843,10,8,0.8,8,0.8
test844,8,5,0.625,5,0.625
test845,8,7,0.875,7,0.875
test846,8,3,0.375,7,0.875
test847,8,6,0.75,6,0.75
test848,14,9,0.6429,9,0.6429
test849,8,3,0.375,3,0.375
test850,9,8,0.8889,7,0.7778
test851,10,9,0.9,9,0.9
test852,8,8,1.0,8,1.0
test853,9,3,0.3333,3,0.3333
test854,9,7,0.7778,7,0.7778
test855,9,5,0.5556,5,0.5556
test856,7,4,0.5714,3,0.4286
test857,13,8,0.6154,8,0.6154
test858,9,9,1.0,9,1.0
test859,11,,,,
test860,8,6,0.75,6,0.75
test861,8,4,0.5,4,0.5
test862,10,1,0.1,1,0.1
test863,8,5,0.625,2,0.25
test864,9,9,1.0,9,1.0
test865,10,10,1.0,10,1.0
test866,8,3,0.375,3,0.375
test867,9,9,1.0,,
test868,9,5,0.5556,5,0.5556
test869,9,5,0.5556,5,0.5556
test870,9,6,0.6667,6,0.6667
test871,15,8,0.5333,,
test872,8,5,0.625,7,0.875
test873,8,3,0.375,3,0.375
test874,8,8,1.0,8,1.0
test875,8,,,,
test876,8,3,0.375,3,0.375
test877,8,4,0.5,4,0.5
test878,10,7,0.7,9,0.9
test879,8,5,0.625,5,0.625
test880,14,1,0.0714,1,0.0714
test881,8,6,0.75,6,0.75
test882,12,8,0.6667,8,0.6667
test883,9,4,0.4444,4,0.4444
test884,8,6,0.75,6,0.75
test885,8,,,8,1.0
test886,8,4,0.5,4,0.5
test887,11,8,0.7273,8,0.7273
test888,9,8,0.8889,8,0.8889
test889,9,6,0.6667,9,1.0
test890,8,6,0.75,6,0.75
test891,8,4,0.5,4,0.5
